Time,Time Code,Country Name,Country Code,"Population, total [SP.POP.TOTL]","Population, male (% of total population) [SP.POP.TOTL.MA.ZS]","Population, female (% of total population) [SP.POP.TOTL.FE.ZS]","Population ages 0-14, male [SP.POP.0014.MA.IN]","Population ages 0-14, female [SP.POP.0014.FE.IN]","Population ages 0-14, total [SP.POP.0014.TO]","Population, male (% of population, ages 0-14)","Population, female (% of population, ages 0-14)"
2023,YR2023,Lao PDR,LAO,7664993,50.25275956,49.74724044,1193957,1148287,2342243,50.97494154,49.02510115
2023,YR2023,Late-demographic dividend,LTE,2326658047,50.25972334,49.74027666,218800425,198217783,417018202,52.46783568,47.53216575
2023,YR2023,Latin America & Caribbean,LCN,657611624,49.22947693,50.77052307,76719835,73716789,150436619,50.9981117,49.00189162
2023,YR2023,Latin America & Caribbean (excluding high income),LAC,594995068,49.21752058,50.78247942,69707629,67031704,136739331,50.97847744,49.02152403
2023,YR2023,Latin America & the Caribbean (IDA & IBRD countries),TLA,642397939,49.23978564,50.76021436,75553938,72618924,148172859,50.99040304,49.00959898
2023,YR2023,Latvia,LVA,1877445,46.31891819,53.68108181,152170,142439,294610,51.65133566,48.3483249
2023,YR2023,Least developed countries: UN classification,LDC,1161055545,49.66327619,50.33672381,229273066,222464640,451737707,50.75358166,49.24641812
2023,YR2023,Lebanon,LBN,5773493,48.61185421,51.38814579,791273,751164,1542437,51.30018276,48.69981724
2023,YR2023,Lesotho,LSO,2311472,48.70173638,51.29826362,405808,401441,807250,50.27042428,49.72945184
2023,YR2023,Liberia,LBR,5493031,49.90583523,50.09416477,1112204,1084831,2197035,50.62295321,49.37704679
2023,YR2023,Libya,LBY,7305659,50.84607699,49.15392301,1048574,994175,2042749,51.33151454,48.66848546
2023,YR2023,Liechtenstein,LIE,39850,49.66537869,50.33462131,3021,2697,5717,52.84239986,47.17509183
2023,YR2023,Lithuania,LTU,2871585,47.15335633,52.84664367,219253,208245,427497,51.28761138,48.71262254
2023,YR2023,Low & middle income,LMY,6633109634,50.4340711,49.5659289,921473517,867919502,1789393010,51.4964299,48.5035706
2023,YR2023,Low income,LIC,736466395,49.83345017,50.16654983,154562710,150753703,305316411,50.62378059,49.37622007
2023,YR2023,Lower middle income,LMC,3079778780,50.7263192,49.2736808,473806688,447394726,921201413,51.43356071,48.5664394
2023,YR2023,Luxembourg,LUX,666430,50.31987815,49.68012185,53879,51550,105429,51.10453481,48.89546519
2023,YR2023,"Macao SAR, China",MAC,678800,46.12829891,53.87170109,48992,46681,95674,51.20722453,48.79173025
2023,YR2023,Madagascar,MDG,31195932,50.15695796,49.84304204,6253129,6091767,12344896,50.65355755,49.34644245
2023,YR2023,Malawi,MWI,21104482,48.78156213,51.21843787,4357784,4361761,8719545,49.97719491,50.02280509
2023,YR2023,Malaysia,MYS,35126298,52.41107104,47.58892896,4043127,3785820,7828946,51.64331188,48.35670089
