"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.92822484385818","9.85186937952848","9.81930168947989","9.76139521671395","9.73197758112596","9.73936070760137","9.72052845847169","9.68064575226544","9.6382000916736","9.58963317397881","9.6763125233769","9.71709929601097","9.66294144165521","9.83951610681593","9.87164717646242","9.92002467101525","9.93064774046064","9.58194588082695","9.53264269073925","9.57502681194079","9.68969302814173","9.75720831947572","9.91408145028722","10.0086192654093","10.1304175462449","10.1057944761172","10.1230703259379","10.1151227253857","10.0429038428595","9.95554452624023","9.8490249185499","9.90386929079468","9.80795563279052",
"Afghanistan","AFG","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.98493178578701","9.07145325747412","9.10886700859106","9.0963346866484","9.29868125975941","9.37028574148481","9.44464168178199","9.52405362690616","9.61957758327976","9.68509479289398","9.83379251851523","10.0138980692638","10.3404238369538","10.8088730169085","11.2277583851206","11.6346703097012","11.8600391222661","12.4186757786708","13.5837305819466","14.859119986692","15.8227705054974","17.154523449935","19.5295086542325","22.0467416152603","20.8147344539696","19.2959876584963","18.026459473784","18.3076601254034","18.2147655674839","18.4813121380722","18.5222619343237","18.5407413281322","18.3867844265709",
"Africa Western and Central","AFW","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.8213768985961","10.8509271501707","10.8823958987391","10.9152549640998","10.94439853547","10.9894017134438","11.057804946318","11.1079716429584","11.178644687363","11.3392136628289","11.4135539974396","11.5032700507555","11.6127858910616","11.7272918565973","11.6186358908376","11.5101832150678","11.370907830396","11.3162296691349","11.3169021006253","11.3478168327126","11.3399370941286","11.7206655124987","12.1532543420831","12.6569592905497","13.0512462800619","13.0977738921956","13.3791453570173","13.54859887703","13.7726140976414","14.489204134961","15.0147499289401","15.8377075982235","16.0630717881677",
"Angola","AGO","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.31514919047416","8.19271659348845","7.90082939933694","7.87679956318016","8.07686766528811","8.28738155577967","8.38308939254224","8.42575306789436","8.4037416798963","8.41812161825672","8.47220164609403","8.86785034795357","8.83383526446533","9.09548794623587","8.95790487938175","8.6744573426237","8.47795997349525","8.177166683039","7.86869556895397","8.30410747552359","8.15061089455927","8.21011971297732","8.13639540780199","8.09022444444071","7.83704898061265","7.47944675739682","7.26613054056167","7.05617761035237","6.91048015124639","6.33092288651698","5.71756681941162","5.63510338831995","5.57247117658558",
"Albania","ALB","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.8535904822793","10.7673596519418","10.9073369911001","11.0231605988841","11.207508465336","10.7154566241411","10.7724120335334","10.7947746310331","11.170036213525","11.8598049086438","12.7054387098669","13.6195595163752","13.4429051889814","14.4789690084043","14.473013726881","14.8400069647661","16.2697334430433","17.7778867193797","19.940687964523","20.5927945952109","18.8646310155501","17.2752517093532","16.8779206232219","17.740079692317","18.6698150626281","19.3798286902694","19.3813290766241","19.7456941750012","20.1506525937613","20.6416340686907","20.911457802804","21.0082400375177","21.1843198719603",
"Andorra","AND","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.9065744806525","22.0137650945856","22.0159313341707","21.9677247212319","22.0176800314655","22.548497971119","22.2066519959906","22.2816947112987","22.3622340649365","22.0105624225997","22.0940393325636","21.9398668742703","21.7721301760466","22.1335996365","22.80012167","23.2002169589816","23.7027399260475","24.4452578545456","24.7768248036705","25.4077038993025","24.7890779890162","24.7999715868156","24.556533733501","24.6643662031926","24.9424410125062","25.4479326607667","25.8015052192276","25.7582946438655","25.5401847654096","25.132755583237","24.7541883004056","24.5115567691013","25.2163837891456",
"United Arab Emirates","ARE","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.3116058461676","29.2763865664006","29.2863882230909","29.1353618709753","29.0543671254406","28.919971329722","28.9801561091623","29.055373300329","28.768917118806","28.3368761337044","28.2977014553879","28.0478000214338","28.1173461707257","27.8492960536408","27.505973532923","26.194526731919","25.3044575796428","24.3944299990219","26.07655796552","26.7034552070053","27.0858815905539","27.7263387302275","28.6745413742511","29.8185167941572","31.4812771066376","32.5705231171756","33.4772147488979","34.5965514744327","28.844743884838","27.5769022115906","29.6575593895852","29.3494726207478","29.6389287829813",
"Argentina","ARG","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.5885189015744","32.0651960116523","29.4738032095833","28.3768806701435","26.9356679990653","24.8943409855594","25.4701284743987","24.8047134907221","23.5957313071774","22.6821568510036","21.967694517928","20.2072823511607","21.875644795885","22.8144475296486","23.3459141837039","23.715321653986","23.9756595985387","24.1165454976498","23.2952997990484","23.4651798026944","24.3054233606184","23.9791299835126","24.3203972272539","24.6560454555985","23.524056306464","22.7021930969164","22.7681663744079","22.3841182119442","22.1776444318522","22.5512769931685","22.0778283348626","22.698684863273","22.9722602113154",
